Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
20150716.Peptide bond formation _ Macromolecules _ Biology _ Khan Academy.nv2kfBFkv4s.en.txt,1,1579,33.01,69.83,11.95,23.78,1579.00,13.87,80.37,59.28,17.29,5.26,1.27,1.96,1.77,0.00,0.25,12.03,7.66,11.34,11.59,7.03,9.63,0.57,19.13,2.91,1.84,1.77,1.65,2.85,2.53,1.20,1.33,0.00,0.06,1.27,6.14,0.00,0.00,0.00,0.00,10.26,1.71,2.22,2.41,2.47,0.44,2.85,3.10,1.27,0.38,0.38,0.38,0.00,0.00,0.00,0.38,5.95,2.47,0.38,1.27,1.77,0.06,1.90,12.92,3.29,10.51,2.09,5.32,3.74,0.19,0.13,0.00,0.19,0.00,0.00,0.57,0.00,0.00,0.13,0.38,0.00,3.61,0.00,0.00,0.13,0.00,0.00,0.00,0.32,0.00,3.17,0.00,0.00
20090930.Hardy-Weinberg Principle.4Kbruik_LOo.en.txt,1,2513,32.52,62.05,11.55,39.27,2513.00,14.48,84.52,58.93,16.67,8.12,3.42,1.83,2.11,0.16,0.60,8.56,7.92,11.26,13.33,7.44,8.16,0.88,21.77,5.85,1.31,2.59,4.14,3.58,1.55,1.15,0.40,0.04,0.28,0.00,7.08,0.52,0.08,0.04,0.28,10.66,2.03,1.75,2.31,3.90,0.99,3.66,7.48,6.76,0.72,0.00,2.55,2.23,0.24,0.00,0.08,5.13,2.31,0.60,1.15,1.35,0.04,1.35,16.28,2.03,7.16,1.67,3.38,1.99,0.20,0.24,0.00,0.00,0.00,0.00,1.43,0.00,0.68,0.04,0.72,0.00,5.85,0.00,0.00,0.08,0.00,0.00,0.00,0.40,0.00,4.14,0.00,1.23
20141210.DNA _ Biomolecules _ MCAT _ Khan Academy.AmOO4j0E408.en.txt,1,2436,31.79,77.50,25.43,41.35,2436.00,14.49,83.21,61.00,17.78,7.84,1.89,1.19,4.15,0.08,0.53,9.93,7.18,12.19,12.11,7.51,8.87,0.70,18.51,2.26,1.97,1.77,3.57,3.08,1.19,1.03,0.16,0.00,0.04,0.12,9.52,0.37,0.04,0.04,0.25,14.12,2.59,1.56,2.05,4.72,0.90,4.72,3.20,1.19,1.23,0.16,0.70,0.12,0.08,0.04,0.49,4.19,1.35,0.66,1.72,0.57,0.04,2.42,13.05,2.09,9.98,0.90,6.40,2.46,0.29,0.25,0.00,0.41,0.00,0.04,0.66,0.00,0.08,0.08,0.29,0.04,3.20,0.00,0.00,0.08,0.00,0.00,0.00,0.08,0.00,3.04,0.00,0.00
20090921.Introduction to Evolution and Natural Selection.GcjgWov7mTM.en.txt,1,3396,20.86,80.58,28.43,41.19,3396.00,13.55,88.16,59.13,19.55,9.78,1.94,1.24,3.62,0.56,2.41,9.78,5.80,10.37,11.51,7.27,8.78,1.35,20.20,5.15,3.18,1.94,0.97,5.15,2.80,1.83,0.97,0.03,0.71,0.09,11.37,0.00,0.82,0.03,0.97,16.55,2.94,2.06,1.35,5.77,2.09,4.30,2.89,2.09,0.65,0.09,1.74,0.15,1.27,0.00,0.12,4.51,1.30,1.00,1.47,1.18,0.12,2.77,15.16,2.62,10.31,2.00,4.42,4.03,1.24,0.24,0.03,0.00,0.03,0.38,0.91,0.00,0.00,0.06,0.35,0.06,4.51,0.00,0.00,0.06,0.00,0.00,0.00,0.27,0.00,4.18,0.00,0.00
20150713.Molecular structure of fructose _ Macromolecules _ Biology _ Khan Academy.662koqcIXSk.en.txt,1,1773,44.63,85.30,20.59,36.70,1773.00,13.65,78.68,59.45,16.64,7.33,0.96,2.43,2.65,0.00,1.30,9.31,9.19,11.96,11.00,7.22,8.91,0.23,14.89,2.71,2.14,2.54,6.71,3.44,0.85,0.73,0.11,0.00,0.06,0.00,9.76,0.00,0.11,0.00,0.06,8.35,1.13,1.58,1.75,2.31,0.39,3.16,2.37,1.18,0.56,0.06,0.85,0.06,0.00,0.00,0.73,6.77,4.34,0.39,1.80,0.11,0.11,1.75,11.68,1.80,12.58,0.62,8.86,3.16,0.23,0.23,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.17,0.00,2.93,0.00,0.00,0.11,0.00,0.00,0.00,0.17,0.00,2.65,0.00,0.00
20100208.Diffusion and osmosis _ Membranes and transport _ Biology _ Khan Academy.aubZU0iWtgI.en.txt,1,3429,33.27,70.13,67.07,23.49,3429.00,15.02,89.41,61.30,16.27,7.09,1.55,2.07,2.54,0.12,0.82,9.19,6.97,13.62,12.25,9.59,8.22,1.25,19.66,4.67,3.44,0.99,0.58,4.32,1.31,0.58,0.73,0.15,0.03,0.55,8.08,0.03,0.50,0.00,0.64,14.58,3.59,1.34,2.10,5.22,0.93,4.61,2.68,0.61,0.82,0.26,3.56,0.26,0.03,0.00,3.27,5.54,2.13,0.76,2.33,0.44,0.00,1.43,15.75,2.60,16.13,3.18,11.05,2.07,0.20,0.29,0.06,0.00,0.00,0.00,0.32,0.00,0.09,0.00,0.17,0.06,4.96,0.00,0.00,0.06,0.00,0.00,0.00,0.17,0.00,4.72,0.00,0.00
20100211.Anatomy of a neuron _ Human anatomy and physiology _ Health & Medicine _ Khan Academy.ob5U8zPbAX4.en.txt,1,1129,40.38,68.68,24.34,40.06,1129.00,12.67,84.68,61.56,16.30,6.47,1.95,1.95,1.68,0.09,0.80,9.83,10.54,10.98,10.63,8.15,10.27,0.53,16.39,3.28,3.28,1.86,0.89,2.30,1.33,1.06,0.27,0.18,0.00,0.00,7.71,0.00,0.09,0.00,0.18,12.49,1.59,1.86,1.59,5.14,0.80,3.99,2.04,1.15,0.35,0.27,3.45,3.01,0.35,0.00,0.27,4.96,2.13,0.97,1.77,0.80,0.00,1.15,13.02,3.19,10.98,1.68,6.47,3.19,0.53,0.62,0.00,0.27,0.00,0.00,0.18,0.00,0.00,0.00,0.18,0.00,3.10,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.00,2.92,0.00,0.00
20150504.Interphase _ Cells _ MCAT _ Khan Academy.VXLSTd_dlKg.en.txt,1,1469,17.87,63.06,37.74,44.46,1469.00,14.02,83.39,62.42,18.58,6.26,2.45,2.31,1.16,0.00,0.34,12.32,6.33,11.84,12.59,10.42,9.73,0.68,19.13,3.61,3.06,1.70,2.72,3.13,1.29,1.16,0.14,0.14,0.00,0.00,6.13,0.48,0.00,0.48,0.00,8.24,0.82,0.88,0.88,2.31,1.16,3.13,2.04,1.36,0.41,0.27,0.54,0.00,0.48,0.07,0.00,4.83,3.00,0.07,1.57,0.14,0.07,1.16,14.84,2.86,13.61,2.79,6.33,4.49,0.20,0.07,0.00,0.27,0.00,0.00,0.41,0.00,0.07,0.07,0.20,0.07,4.29,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,4.15,0.00,0.00
20150714.Lipid overview _ Macromolecules _ Biology _ Khan Academy.Ezp8F7XJHWE.en.txt,1,2061,29.64,66.19,22.90,35.07,2061.00,15.91,81.95,61.38,16.55,6.70,1.55,1.12,3.01,0.00,1.02,9.85,7.52,11.60,11.60,9.17,9.07,1.16,16.11,2.81,1.80,1.70,2.38,3.64,1.21,0.87,0.34,0.10,0.00,0.05,7.23,0.00,0.00,0.00,0.00,10.00,0.82,0.87,1.31,3.01,1.16,4.46,3.25,1.46,1.36,0.05,2.96,0.92,1.80,0.00,1.75,3.83,1.70,0.10,1.65,0.19,0.19,1.26,12.42,2.18,11.01,1.31,7.04,2.81,0.24,0.29,0.00,0.05,0.00,0.00,0.58,0.00,0.19,0.00,0.39,0.00,3.35,0.00,0.00,0.10,0.00,0.00,0.00,0.29,0.00,2.91,0.00,0.05
20091211.Krebs _ citric acid cycle _ Cellular respiration _ Biology _ Khan Academy.juM2ROSLWfw.en.txt,1,3036,37.27,82.27,27.39,41.87,3036.00,15.58,80.40,55.40,17.46,7.61,1.15,3.29,2.34,0.00,0.82,9.85,7.02,10.47,9.88,6.98,8.30,0.36,15.78,1.52,1.05,1.88,3.99,2.67,1.35,1.12,0.23,0.07,0.00,0.10,8.37,0.00,0.03,0.00,0.03,10.51,1.12,2.50,1.02,3.10,1.42,3.23,2.31,0.99,0.43,0.03,0.53,0.20,0.20,0.00,0.33,6.75,3.52,0.49,0.99,1.88,0.07,1.75,13.08,2.87,12.91,2.11,6.95,3.95,1.68,0.20,0.00,0.46,0.00,0.00,0.30,0.00,0.03,0.03,0.13,0.00,3.99,0.00,0.00,0.07,0.00,0.00,0.00,0.16,0.00,3.72,0.00,0.03
"20150731.Endocytosis, phagocytosis, and pinocytosis _ Biology _ Khan Academy.QspmZf_yWyU.en.txt",1,825,25.19,62.82,31.22,50.67,825.00,15.39,82.30,63.03,19.88,4.97,1.94,1.70,1.21,0.00,0.12,14.91,6.30,13.45,12.24,9.09,8.48,0.36,17.45,3.15,1.70,2.91,0.48,2.30,1.33,1.33,0.00,0.00,0.00,0.00,5.70,0.00,0.00,0.00,0.00,10.55,1.21,1.70,1.33,3.15,0.97,3.03,2.67,2.06,0.61,0.00,1.45,0.00,0.12,0.00,1.45,4.48,1.94,0.73,1.70,0.24,0.00,0.85,15.27,1.21,13.21,1.33,9.70,2.18,0.12,0.85,0.00,0.00,0.00,0.00,0.36,0.00,0.00,0.12,0.24,0.00,3.52,0.00,0.00,0.24,0.00,0.00,0.00,0.36,0.00,2.91,0.00,0.00
