Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
20141227.Free energy and cell potential _ Redox reactions and electrochemistry _ Chemistry _ Khan Academy.4tcLzVJdxZs.en.txt,1,1225,45.06,90.69,8.64,74.42,1225.00,18.29,75.76,51.43,14.12,7.51,0.24,6.20,1.06,0.00,0.00,6.61,5.71,12.08,8.33,7.67,9.06,1.31,14.94,2.37,0.65,1.39,9.22,1.47,2.61,2.61,0.00,0.00,0.00,0.00,8.73,0.08,0.00,0.00,0.00,9.14,2.20,2.45,1.63,1.71,1.47,1.22,0.57,0.49,0.08,0.08,0.08,0.00,0.08,0.00,0.00,10.86,6.29,2.29,0.98,1.22,0.08,1.22,12.24,2.53,10.78,1.96,5.39,3.43,1.14,0.08,0.08,0.57,0.00,0.00,0.08,0.00,0.00,0.00,0.08,0.00,4.82,0.00,0.24,0.16,0.00,0.00,0.00,0.24,0.00,4.16,0.00,0.00
20150314.Formal charge on carbon _ Resonance and acid-base chemistry _ Organic chemistry _ Khan Academy.7p2qfyqiXHc.en.txt,1,1754,54.77,85.68,9.77,36.83,1754.00,12.71,76.17,55.30,14.31,6.67,1.03,4.56,0.86,0.00,0.23,7.64,6.90,14.54,8.72,8.49,8.49,0.68,14.42,2.57,1.08,0.97,6.90,2.51,2.57,1.60,0.97,0.00,0.00,0.97,8.38,0.00,0.00,0.00,0.00,5.93,1.31,0.57,0.91,0.86,1.31,1.43,1.37,1.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.75,4.90,0.57,1.20,1.20,0.00,1.37,11.86,1.03,10.38,0.97,7.18,2.22,1.20,0.06,0.00,0.11,0.00,0.00,0.51,0.00,0.00,0.34,0.17,0.00,3.02,0.00,0.00,0.11,0.06,0.00,0.00,0.06,0.00,2.74,0.00,0.06
20140504.sp² hybridization _ AP Chemistry _ Khan Academy.ROzkyTgscGg.en.txt,1,2273,44.91,80.93,18.69,41.69,2273.00,14.91,74.40,53.76,13.73,6.95,1.28,4.36,1.06,0.00,0.26,6.78,6.86,12.71,7.96,9.50,10.73,0.40,15.22,2.07,1.94,0.70,5.46,2.77,1.41,1.14,0.26,0.00,0.04,0.18,6.16,0.00,0.00,0.00,0.00,5.54,1.50,1.01,1.10,1.06,0.97,1.14,1.41,1.28,0.09,0.00,0.18,0.18,0.00,0.00,0.00,7.35,4.36,1.19,0.88,0.97,0.09,0.84,12.27,2.51,12.85,2.55,7.74,2.77,0.40,0.26,0.00,0.13,0.00,0.00,0.79,0.00,0.04,0.70,0.04,0.00,4.44,0.00,0.00,0.09,0.09,0.00,0.00,0.44,0.00,3.56,0.00,0.26
20150612.Polysubstituted cyclohexane _ Organic chemistry _ Khan Academy.BwPjtAe1gvE.en.txt,1,1700,44.52,92.92,45.70,36.08,1700.00,8.24,81.00,58.94,16.88,8.47,0.59,6.29,1.47,0.00,0.12,8.41,6.18,15.06,10.00,7.59,9.35,0.29,16.76,2.24,1.88,1.06,5.41,2.65,0.82,0.71,0.12,0.00,0.06,0.06,10.06,0.00,0.00,0.00,0.00,6.41,1.12,0.53,2.35,1.47,0.76,2.24,2.71,1.41,1.00,0.18,0.18,0.18,0.00,0.00,0.00,13.65,8.00,0.94,5.06,0.24,0.00,0.82,13.12,3.00,18.76,3.41,11.18,3.71,0.29,0.24,0.00,0.00,0.00,0.00,0.59,0.00,0.35,0.06,0.18,0.00,3.53,0.00,0.00,0.12,0.00,0.00,0.00,0.06,0.00,3.35,0.00,0.00
"20120930.Naming cubane _ Alkanes, cycloalkanes, and functional groups _ Organic chemistry _ Khan Academy.ayKHmN90ncc.en.txt",1,1136,25.85,62.11,35.37,30.22,1136.00,11.18,83.27,59.77,15.67,8.63,4.23,2.55,1.85,0.00,0.00,7.04,5.55,13.20,10.48,10.12,11.71,0.79,16.99,2.02,2.46,1.50,7.92,1.23,1.32,0.79,0.53,0.09,0.00,0.00,5.28,0.00,0.00,0.00,0.00,7.04,1.41,1.85,2.11,1.23,0.44,1.58,2.02,1.14,0.79,0.09,0.09,0.00,0.09,0.00,0.00,5.28,2.55,1.06,0.88,0.79,0.00,1.06,14.52,2.90,13.64,1.85,7.04,4.93,0.97,0.88,0.00,0.00,0.00,0.00,0.62,0.00,0.26,0.09,0.18,0.09,4.05,0.00,0.00,0.18,0.26,0.00,0.00,0.09,0.00,3.26,0.00,0.26
20131029.Electronegativity and bonding _ Structure and bonding _ Organic chemistry _ Khan Academy.q3g3jsmCOEQ.en.txt,1,1791,46.05,79.72,45.15,44.14,1791.00,16.08,80.23,57.01,14.35,6.53,0.73,3.69,2.01,0.00,0.11,7.82,7.15,13.96,9.38,8.49,10.44,0.78,16.14,3.69,3.13,1.06,2.12,3.13,2.01,1.45,0.45,0.00,0.11,0.34,6.87,0.00,0.00,0.00,0.00,8.49,1.84,1.06,1.73,1.62,1.45,2.74,1.28,1.06,0.17,0.06,0.22,0.00,0.00,0.00,0.22,6.37,3.69,1.06,0.95,0.78,0.17,0.28,13.29,2.68,16.69,3.18,10.72,2.90,0.73,0.06,0.00,0.00,0.00,0.11,0.34,0.00,0.06,0.22,0.06,0.00,3.52,0.00,0.00,0.11,0.00,0.00,0.00,0.22,0.00,3.18,0.00,0.00
20120617.E1 Elimination - mechanism.28N_IRo9g4Y.en.txt,1,2361,40.39,88.21,27.71,31.55,2361.00,13.09,80.09,57.56,17.83,8.17,1.44,4.96,1.74,0.00,0.04,9.66,6.99,13.17,8.26,8.94,8.98,0.51,17.28,1.95,1.40,0.72,3.13,1.69,2.24,1.27,0.93,0.00,0.04,0.89,8.26,0.00,0.04,0.00,0.04,6.95,1.78,2.03,1.23,1.23,0.68,1.14,1.52,1.06,0.08,0.00,0.93,0.00,0.38,0.00,0.93,8.89,5.25,1.48,0.72,1.69,0.04,1.48,14.44,2.88,14.32,4.24,6.57,3.73,0.64,0.55,0.04,0.04,0.00,0.00,0.93,0.00,0.34,0.30,0.30,0.00,4.36,0.00,0.00,0.08,0.00,0.00,0.00,0.34,0.00,3.81,0.00,0.13
20100721.Naming alkanes with alkyl groups _ Organic chemistry _ Khan Academy.KKAD-OOOHxg.en.txt,1,1886,12.18,87.18,6.21,35.00,1886.00,6.73,78.00,55.78,19.46,8.32,1.75,4.40,2.07,0.00,0.11,11.13,5.62,7.21,12.35,9.60,8.22,0.48,19.67,2.60,1.91,1.54,14.10,2.70,1.06,0.80,0.27,0.00,0.00,0.16,9.92,0.00,0.00,0.00,0.00,9.12,1.22,1.11,2.70,1.96,0.95,2.81,2.12,1.17,0.95,0.00,0.00,0.00,0.00,0.00,0.00,7.16,5.51,0.16,0.69,0.74,0.11,1.33,14.42,1.64,8.70,0.58,5.46,2.65,0.37,0.05,0.00,0.00,0.00,0.00,0.42,0.00,0.00,0.05,0.37,0.00,4.14,0.00,0.00,0.11,0.00,0.00,0.00,0.21,0.00,3.82,0.00,0.00
20131018.VSEPR for 3 electron clouds _ AP Chemistry _ Khan Academy.3RDytvJYehY.en.txt,1,2415,47.63,84.09,25.78,25.77,2415.00,15.16,77.35,54.87,14.33,8.07,1.74,4.76,1.28,0.00,0.29,6.25,6.05,14.53,7.66,9.90,9.86,0.62,15.40,2.44,2.11,0.91,4.97,2.69,2.28,1.12,1.12,0.17,0.00,0.75,8.32,0.00,0.00,0.00,0.00,6.34,1.04,0.54,1.57,1.78,0.66,2.03,1.53,1.20,0.29,0.04,0.00,0.00,0.00,0.00,0.00,7.45,5.01,1.16,0.70,0.70,0.04,0.91,13.04,2.48,13.87,3.06,7.87,3.06,0.50,0.04,0.00,0.21,0.00,0.00,0.54,0.00,0.00,0.33,0.21,0.00,3.15,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,2.98,0.00,0.08
20150102.Introduction to electrolysis _ Redox reactions and electrochemistry _ Chemistry _ Khan Academy.1tvvSUySfls.en.txt,1,1087,72.66,81.64,7.43,38.88,1087.00,21.90,71.85,51.33,10.76,5.98,0.18,5.43,0.37,0.00,0.00,4.78,9.75,13.25,7.27,6.16,9.75,1.56,13.62,1.84,1.01,0.55,3.86,0.74,2.02,1.38,0.64,0.00,0.00,0.64,6.07,0.00,0.00,0.00,0.00,10.03,1.47,4.78,1.47,1.20,1.47,1.10,0.64,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.42,5.52,2.48,1.20,3.86,0.64,1.84,11.32,1.01,11.04,2.02,7.27,1.56,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.21,0.00,0.00,0.18,0.00,0.00,0.00,0.64,0.00,1.38,0.00,0.00
"20090901.Covalent networks, metallic crystals, and ionic crystals _ Chemistry _ Khan Academy.Rw_pDVbnfQk.en.txt",1,1699,37.45,61.36,17.87,75.01,1699.00,16.48,82.52,58.92,14.71,5.83,0.94,0.59,2.94,0.00,1.35,8.89,9.24,10.59,10.83,7.71,10.54,1.47,16.30,5.94,2.53,2.00,1.41,3.00,3.71,3.18,0.53,0.00,0.12,0.18,7.12,0.00,0.06,0.00,0.00,15.24,1.47,2.41,1.65,4.77,2.41,5.24,2.12,0.65,0.47,0.77,2.06,0.06,0.18,0.12,0.88,5.65,0.88,0.47,2.71,1.59,0.06,1.12,14.48,1.47,9.48,1.00,5.71,2.77,0.12,0.18,0.12,0.18,0.00,0.12,0.24,0.12,0.00,0.00,0.06,0.06,3.41,0.00,0.00,0.12,0.00,0.00,0.00,0.18,0.00,3.12,0.00,0.00
20140108.Practice determining oxidation states _ Chemistry _ Khan Academy.M7PnxSQedkM.en.txt,1,739,48.38,56.46,13.36,69.15,739.00,19.35,80.92,57.51,15.29,5.14,1.22,1.76,1.62,0.00,0.54,10.15,6.77,13.80,10.01,7.44,7.44,1.89,19.08,2.17,1.35,1.49,5.14,2.71,2.84,2.57,0.27,0.00,0.00,0.27,6.09,0.00,0.00,0.00,0.00,14.21,2.17,1.62,2.98,4.33,1.76,4.74,1.76,0.68,0.41,0.14,0.41,0.14,0.27,0.00,0.14,6.90,2.71,1.08,0.95,2.44,0.27,2.44,15.56,0.81,9.20,0.68,5.82,2.57,0.81,0.27,0.00,0.00,0.00,0.00,0.41,0.00,0.00,0.00,0.41,0.00,2.84,0.00,0.00,0.27,0.00,0.00,0.00,0.27,0.00,2.30,0.00,0.00
20101019.Keto-enol tautomerization (by Sal) _ Alpha Carbon Chemistry _ Organic chemistry _ Khan Academy.SXbc4J1qWjE.en.txt,1,1511,27.51,68.07,14.15,24.72,1511.00,13.24,83.19,64.26,19.85,5.16,1.13,2.32,1.39,0.20,0.13,14.69,7.81,11.38,10.85,9.27,8.34,0.20,16.48,2.91,2.65,0.73,1.85,2.45,1.92,0.93,0.99,0.00,0.07,0.79,6.22,0.00,0.20,0.00,0.40,9.66,0.93,1.06,2.58,2.25,1.06,3.84,2.51,2.12,0.26,0.13,1.46,0.07,0.20,0.00,1.26,6.35,2.91,0.40,1.59,1.65,0.13,2.98,12.97,1.46,11.45,1.32,6.35,4.10,0.26,0.13,0.00,0.00,0.00,0.00,0.40,0.07,0.07,0.13,0.07,0.00,1.59,0.00,0.00,0.13,0.00,0.00,0.00,0.07,0.00,1.39,0.00,0.00
20121006.Ring opening reactions of epoxides - Acid-catalyzed _ Organic chemistry _ Khan Academy.NRsM8kXtT5s.en.txt,1,1603,47.30,37.51,78.65,12.53,1603.00,11.42,82.78,60.01,16.91,8.05,6.36,1.56,0.06,0.00,0.06,8.86,6.99,16.16,8.73,9.42,9.92,0.06,17.53,2.25,2.37,1.31,1.68,2.18,2.50,0.75,1.75,0.00,0.69,0.75,3.12,0.00,0.00,0.00,0.00,5.86,0.62,1.68,1.37,1.31,0.62,1.50,3.12,2.12,0.56,0.00,0.31,0.00,0.31,0.00,0.00,7.30,2.31,1.62,2.93,1.00,0.00,0.94,13.29,4.55,18.65,4.93,9.67,3.93,0.69,0.06,0.00,0.00,0.00,0.00,0.37,0.00,0.19,0.19,0.00,0.00,3.93,0.00,0.00,0.12,0.00,0.00,0.00,0.25,0.00,3.56,0.00,0.00
20120624.E2 Elimination - substituted cyclohexanes.PP7T8vpT2KI.en.txt,1,2256,32.28,87.90,28.78,43.54,2256.00,14.98,78.01,55.59,15.82,8.64,1.77,4.21,2.57,0.00,0.09,7.14,6.07,11.88,8.64,9.44,10.90,0.53,16.49,2.13,1.91,1.33,5.81,3.81,1.11,1.02,0.04,0.00,0.00,0.04,9.22,0.00,0.04,0.00,0.04,8.47,0.93,2.44,2.08,2.30,0.93,1.99,1.46,1.11,0.22,0.13,0.04,0.04,0.00,0.00,0.00,8.55,5.90,0.71,1.55,0.40,0.00,1.42,12.10,2.88,15.03,3.90,7.62,3.72,0.66,0.22,0.09,0.09,0.00,0.13,1.29,0.00,0.62,0.40,0.27,0.00,4.83,0.00,0.00,0.09,0.27,0.00,0.00,0.53,0.00,3.68,0.00,0.27
20141230.Spontaneity and redox reactions _ Redox reactions and electrochemistry _ Chemistry _ Khan Academy.sorB6XFJ8Jc.en.txt,1,1849,28.16,94.27,5.82,48.88,1849.00,22.12,82.10,51.76,15.25,9.57,0.27,8.22,1.08,0.00,0.00,5.68,4.54,11.36,8.38,8.49,10.98,1.84,15.85,2.54,1.41,1.14,7.90,2.54,2.11,1.68,0.43,0.00,0.05,0.22,10.60,0.00,0.00,0.00,0.00,14.87,1.24,5.30,2.38,3.62,1.46,2.00,0.54,0.43,0.11,0.00,0.00,0.00,0.00,0.00,0.00,17.52,8.44,4.38,2.54,3.35,0.38,1.62,13.09,4.60,10.44,2.97,5.79,1.89,3.19,0.00,0.05,0.11,0.00,0.00,0.43,0.00,0.00,0.43,0.00,0.00,4.27,0.00,0.00,0.11,0.00,0.00,0.00,0.87,0.00,2.92,0.00,0.38
20120707.Epoxide formation and anti dihydroxylation _ Alkenes and Alkynes _ Organic chemistry _ Khan Academy.KfTosrMs5W0.en.txt,1,2268,47.25,86.01,42.06,35.80,2268.00,10.41,82.54,58.69,17.90,8.55,1.81,5.38,1.10,0.00,0.26,9.35,6.70,14.90,6.75,9.08,9.57,0.22,16.27,2.43,2.78,0.88,1.90,2.25,2.51,1.54,0.97,0.00,0.35,0.53,7.63,0.00,0.00,0.00,0.00,5.82,0.26,1.90,1.50,1.01,0.84,1.28,3.48,1.68,0.88,0.13,0.49,0.18,0.04,0.00,0.26,10.58,5.56,1.32,2.20,2.03,0.04,1.46,12.08,3.62,17.95,3.88,10.41,3.75,0.57,0.31,0.04,0.00,0.00,0.00,1.06,0.00,0.26,0.62,0.18,0.00,4.32,0.00,0.00,0.09,0.00,0.00,0.00,0.22,0.00,3.97,0.00,0.04
20120802.Hydration of alkynes _ Alkenes and Alkynes _ Organic chemistry _ Khan Academy.AE1pkp-_cKE.en.txt,1,1451,55.67,88.60,29.96,26.92,1451.00,10.48,80.43,58.79,16.40,8.13,1.31,5.86,0.83,0.00,0.14,8.27,8.27,15.51,7.17,9.51,9.30,0.34,15.99,1.86,2.69,0.76,1.72,4.20,1.03,0.55,0.48,0.00,0.00,0.48,8.48,0.00,0.00,0.00,0.00,5.24,0.62,1.65,0.21,0.83,0.96,1.45,2.00,1.17,0.21,0.00,0.69,0.07,0.07,0.00,0.62,10.20,6.20,0.83,0.96,2.41,0.00,2.21,12.68,2.96,14.68,3.51,8.34,2.96,0.69,0.28,0.07,0.14,0.00,0.00,0.76,0.00,0.55,0.07,0.14,0.00,5.03,0.00,0.00,0.14,0.00,0.00,0.00,0.41,0.00,4.27,0.00,0.21
20131231.Addition of carbon nucleophiles to aldehydes and ketones _ Organic chemistry _ Khan Academy.D5-1qEKtfQ4.en.txt,1,1697,25.50,94.47,16.21,48.75,1697.00,14.44,80.91,60.11,18.03,9.90,0.82,6.72,2.24,0.00,0.12,8.13,6.95,11.84,8.13,10.02,12.26,0.53,15.26,1.89,1.83,1.41,2.71,2.65,2.42,1.83,0.59,0.00,0.41,0.18,10.31,0.00,0.00,0.00,0.00,8.60,1.47,2.18,2.59,1.89,0.53,1.94,1.36,1.24,0.06,0.00,0.53,0.00,0.35,0.00,0.53,9.96,7.31,0.65,1.18,0.94,0.00,1.77,11.02,2.06,13.44,2.18,6.25,5.01,0.59,0.41,0.00,0.00,0.00,0.00,1.47,0.00,0.41,0.77,0.29,0.00,3.01,0.00,0.00,0.12,0.00,0.00,0.00,0.35,0.00,2.53,0.00,0.00
20140108.Redox reaction with iron _ Redox reactions and electrochemistry _ Chemistry _ Khan Academy.n30yILpUitw.en.txt,1,996,19.81,83.25,8.73,42.15,996.00,18.78,79.92,60.04,16.16,7.93,0.50,2.91,2.91,0.80,0.80,8.23,7.03,10.54,13.15,10.04,9.14,1.91,20.98,1.91,1.00,2.41,4.12,1.61,2.71,1.81,0.90,0.00,0.00,0.90,9.14,0.00,0.10,0.00,0.90,10.74,1.41,2.11,1.91,3.51,1.81,2.91,1.51,0.40,0.20,0.80,0.90,0.80,0.00,0.00,0.00,8.33,3.21,2.01,0.90,3.11,0.70,2.21,15.96,1.31,10.74,1.81,6.22,2.61,0.70,0.10,0.00,0.00,0.00,0.00,0.60,0.00,0.10,0.10,0.40,0.00,5.72,0.00,0.00,0.20,0.00,0.00,0.00,0.60,0.00,4.92,0.00,0.00
20150702.Surface tension _ States of matter and intermolecular forces _ Chemistry _ Khan Academy._RTF0DAHBBM.en.txt,1,938,51.07,76.57,52.86,51.72,938.00,17.16,89.13,60.77,16.31,6.82,0.43,0.64,3.73,0.00,2.03,9.49,8.74,13.11,11.09,6.08,8.00,0.96,17.91,3.62,2.77,0.96,0.21,3.84,3.30,2.35,0.96,0.96,0.00,0.11,9.28,0.00,0.11,0.00,0.00,12.69,0.64,1.49,1.92,3.94,1.81,5.01,2.77,1.60,0.96,0.32,2.56,0.11,0.11,0.00,2.35,4.69,0.85,0.85,2.03,0.96,0.11,2.03,12.15,2.77,17.27,2.24,12.58,2.45,0.32,0.11,0.11,0.00,0.00,0.00,0.21,0.00,0.00,0.00,0.21,0.00,3.73,0.00,0.00,0.21,0.00,0.00,0.00,0.00,0.00,3.52,0.00,0.00
